bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR
66.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,8073.0,7788.0,285.0,65.25345622119816,95.95959595959596,30.706139738397795,27.326315789473686
67.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,8195.0,7907.0,288.0,66.2505236698785,96.96969696969697,30.719173299818465,27.45486111111111
68.0,123.0,123.0,0.0,100.0,0.0,8318.0,8030.0,288.0,67.28110599078342,96.96969696969697,29.688590978913552,27.881944444444443
69.0,122.0,122.0,0.0,100.0,0.0,8440.0,8152.0,288.0,68.30330959363218,96.96969696969697,28.66638737606479,28.305555555555557
70.0,122.0,122.0,0.0,100.0,0.0,8562.0,8274.0,288.0,69.32551319648094,96.96969696969697,27.644183773216028,28.729166666666668
71.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,8685.0,8396.0,289.0,70.3477167993297,97.3063973063973,26.958680507067598,29.05190311418685
72.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,8807.0,8515.0,292.0,71.34478424801006,98.31649831649831,26.971714068488254,29.160958904109588
73.0,122.0,122.0,0.0,100.0,0.0,8929.0,8637.0,292.0,72.36698785085882,98.31649831649831,25.94951046563949,29.578767123287673
74.0,123.0,123.0,0.0,100.0,0.0,9052.0,8760.0,292.0,73.39757017176372,98.31649831649831,24.918928144734593,30.0
75.0,122.0,122.0,0.0,100.0,0.0,9174.0,8882.0,292.0,74.41977377461248,98.31649831649831,23.89672454188583,30.41780821917808
76.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,9296.0,9003.0,293.0,75.4335986594051,98.65319865319866,23.21959999379355,30.726962457337883
77.0,123.0,123.0,0.0,100.0,0.0,9419.0,9126.0,293.0,76.46418098031002,98.65319865319866,22.18901767288864,31.146757679180887
78.0,122.0,122.0,0.0,100.0,0.0,9541.0,9248.0,293.0,77.48638458315878,98.65319865319866,21.166814070039877,31.563139931740615
79.0,122.0,122.0,0.0,100.0,0.0,9663.0,9370.0,293.0,78.50858818600754,98.65319865319866,20.144610467191114,31.97952218430034
80.0,123.0,123.0,0.0,100.0,0.0,9786.0,9493.0,293.0,79.53917050691244,98.65319865319866,19.114028146286216,32.399317406143346
81.0,122.0,122.0,0.0,100.0,0.0,9908.0,9615.0,293.0,80.5613741097612,98.65319865319866,18.091824543437454,32.815699658703075
82.0,122.0,122.0,0.0,100.0,0.0,10030.0,9737.0,293.0,81.58357771260997,98.65319865319866,17.069620940588692,33.232081911262796
83.0,123.0,123.0,0.0,100.0,0.0,10153.0,9860.0,293.0,82.61416003351488,98.65319865319866,16.03903861968378,33.6518771331058
84.0,122.0,122.0,0.0,100.0,0.0,10275.0,9982.0,293.0,83.63636363636364,98.65319865319866,15.016835016835017,34.06825938566553
85.0,122.0,122.0,0.0,100.0,0.0,10397.0,10104.0,293.0,84.6585672392124,98.65319865319866,13.994631413986255,34.484641638225256
86.0,123.0,123.0,0.0,100.0,0.0,10520.0,10227.0,293.0,85.6891495601173,98.65319865319866,12.964049093081357,34.90443686006826
87.0,122.0,122.0,0.0,100.0,0.0,10642.0,10349.0,293.0,86.71135316296606,98.65319865319866,11.941845490232595,35.32081911262799
88.0,122.0,122.0,0.0,100.0,0.0,10764.0,10471.0,293.0,87.73355676581482,98.65319865319866,10.919641887383833,35.737201365187715
89.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,10886.0,10592.0,294.0,88.74738165060745,98.98989898989899,10.242517339291538,36.02721088435374
90.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,11009.0,10714.0,295.0,89.76958525345623,99.32659932659932,9.557014073143094,36.31864406779661
91.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,11131.0,10835.0,296.0,90.78341013824885,99.66329966329967,8.879889525050814,36.604729729729726
92.0,122.0,122.0,0.0,100.0,0.0,11253.0,10957.0,296.0,91.80561374109762,99.66329966329967,7.857685922202052,37.016891891891895
93.0,123.0,123.0,0.0,100.0,0.0,11376.0,11080.0,296.0,92.83619606200251,99.66329966329967,6.8271036012971535,37.432432432432435
94.0,122.0,122.0,0.0,100.0,0.0,11498.0,11202.0,296.0,93.85839966485128,99.66329966329967,5.804899998448391,37.8445945945946
95.0,122.0,122.0,0.0,100.0,0.0,11620.0,11324.0,296.0,94.88060326770004,99.66329966329967,4.782696395599629,38.25675675675676
96.0,123.0,123.0,0.0,100.0,0.0,11743.0,11447.0,296.0,95.91118558860494,99.66329966329967,3.752114074694731,38.6722972972973
97.0,122.0,122.0,0.0,100.0,0.0,11865.0,11569.0,296.0,96.93338919145371,99.66329966329967,2.7299104718459546,39.08445945945946
98.0,122.0,122.0,0.0,100.0,0.0,11987.0,11691.0,296.0,97.95559279430248,99.66329966329967,1.7077068689971924,39.49662162162162
99.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,12110.0,11813.0,297.0,98.97779639715124,100.0,1.0222036028487622,39.774410774410775
100.0,122.0,122.0,0.0,100.0,0.0,12232.0,11935.0,297.0,100.0,100.0,0.0,40.18518518518518
